word,score,postags
closed,2.840179497572904,"s, a, v"
overall,2.840179497572904,"s, n"
driving,2.840179497572904,"s, n, v"
gay,2.840179497572904,"s, n"
greater,2.840179497572904,"s, a"
established,2.840179497572904,"s, a, v"
basic,2.8501382787418112,"s, a, n"
male,2.8501382787418112,"s, a, n"
effective,2.8501382787418112,"s, a"
worse,2.8501382787418112,"s, a, n, r"
primary,2.859758224104519,"s, a, n"
holy,2.859758224104519,"a, n"
sick,2.859758224104519,"s, a, n, v"
christian,2.859758224104519,"a, n"
otherwise,2.859758224104519,"s, r"
responsible,2.859758224104519,"s, a"
broken,2.859758224104519,"s, a, v"
killing,2.859758224104519,"s, n, v"
nine,2.870181792020672,"s, n"
executive,2.870181792020672,"a, n"
pop,2.870181792020672,"r, s, n, v"
meaning,2.870181792020672,"s, n, v"
weather,2.870181792020672,"s, n, v"
mass,2.870181792020672,"s, n, v"
standing,2.8802614338028523,"s, a, n, v"
complex,2.8802614338028523,"a, n"
highest,2.8802614338028523,"s, a"
sitting,2.8802614338028523,"s, a, n, v"
walking,2.8802614338028523,"s, n, v"
powerful,2.8899667423102304,"s, a, r"
religious,2.8899667423102304,"s, a, n"
actual,2.8899667423102304,"s, a"
fell,2.8899667423102304,"s, n, v"
slow,2.8899667423102304,"s, a, v, r"
northern,2.8899667423102304,"s, a, n"
wonderful,2.8899667423102304,s
prior,2.8899667423102304,"s, n"
royal,2.8899667423102304,"s, a, n"
fat,2.8899667423102304,"s, a, n, v"
mobile,2.8899667423102304,"s, a, n"
wearing,2.8899667423102304,"s, n, v"
broke,2.8899667423102304,"s, v"
learned,2.8899667423102304,"s, a, v"
famous,2.899893905543242,s
bottom,2.899893905543242,"s, a, n, v"
traditional,2.899893905543242,"s, a"
stopped,2.899893905543242,"s, v"
southern,2.899893905543242,"s, a"
raised,2.899893905543242,"s, a, v"
square,2.899893905543242,"a, r, s, n, v"
agreed,2.899893905543242,"s, v"
sad,2.899893905543242,"s, a"
fourth,2.910053304058364,"s, n, r"
surface,2.910053304058364,"a, n, v"
separate,2.910053304058364,"s, a, n, v"
mental,2.910053304058364,"s, a"
covered,2.910053304058364,"a, v"
digital,2.910053304058364,a
fresh,2.910053304058364,"s, a, r"
smart,2.910053304058364,"s, a, n, v"
critical,2.910053304058364,"s, a"
forced,2.910053304058364,"s, a, v"
hearing,2.9197985405143596,"a, n, v"
metal,2.9197985405143596,"a, n, v"
acting,2.9197985405143596,"s, n, v"
sexual,2.9197985405143596,"s, a"
understanding,2.9197985405143596,"s, n, v"
mid,2.9197985405143596,s
african,2.9197985405143596,"a, n"
rose,2.9197985405143596,"s, n, v"
animal,2.929767482004916,"s, n"
japanese,2.929767482004916,"a, n"
prime,2.929767482004916,"s, a, n, v"
waste,2.929767482004916,"s, n, v"
spread,2.929767482004916,"s, n, v"
weird,2.929767482004916,"s, n"
ex,2.929767482004916,"s, n"
becoming,2.929767482004916,"s, v"
silver,2.929767482004916,"s, n, v"
wild,2.939970640755866,"s, a, n, r"
healthy,2.939970640755866,"s, a"
stone,2.939970640755866,"s, n, v"
smaller,2.939970640755866,"s, a"
adult,2.939970640755866,"s, n"
correct,2.949714835966758,"s, a, v"
camp,2.949714835966758,"s, n, v"
removed,2.949714835966758,"s, v"
firm,2.949714835966758,"r, s, n, v"
negative,2.949714835966758,"s, a, n, v"
dangerous,2.949714835966758,"s, a"
eastern,2.959682687859848,"s, a"
fifth,2.959682687859848,"s, n"
impossible,2.959682687859848,"s, a, n"
apart,2.959682687859848,"s, r"
shut,2.959682687859848,"a, v"
aware,2.959682687859848,a
patient,2.9698847052128983,"a, n"
tough,2.9698847052128983,"s, a, n"
rare,2.9698847052128983,s
dear,2.9698847052128983,"s, n, r"
lucky,2.9698847052128983,"s, a"
neither,2.9698847052128983,s
easier,2.9803321553103697,"s, a"
knowing,2.9803321553103697,"s, n, v"
dress,2.9803321553103697,"s, n, v"
magic,2.9803321553103697,"s, n"
alive,2.9803321553103697,"s, a"
net,2.9803321553103697,"s, a, n, v"
boss,2.9803321553103697,"s, n, v"
billion,2.990263684430939,"s, n"
paying,2.990263684430939,"s, v"
unique,2.990263684430939,s
cultural,2.990263684430939,"s, a"
concerned,2.990263684430939,"s, a, v"
technical,2.990263684430939,"s, a, n"
operating,2.990263684430939,"s, a, v"
criminal,2.990263684430939,"s, n"
fly,2.990263684430939,"s, n, v"
busy,2.990263684430939,"s, a, v"
frank,2.990263684430939,"s, n, v"
iron,2.999637310505756,"s, n, v"
stated,2.999637310505756,"s, v"
excited,2.999637310505756,"s, a, v"
ordered,2.999637310505756,"a, v"
prepared,2.999637310505756,"s, a, v"
dry,2.999637310505756,"s, a, n, v"
mad,2.999637310505756,s
discovered,2.999637310505756,"s, v"
lovely,2.999637310505756,"s, n"
evil,2.999637310505756,"s, a, n"
bigger,2.999637310505756,"s, a"
excellent,3.0100257143004443,s
bay,3.0100257143004443,"s, n, v"
solid,3.0100257143004443,"s, a, n"
closer,3.0100257143004443,"s, a, n, r"
lee,3.0100257143004443,"s, n"
port,3.0100257143004443,"s, n, v"
democratic,3.0100257143004443,"s, a"
spanish,3.0100257143004443,"a, n"
nuclear,3.0100257143004443,"s, a"
honest,3.0100257143004443,"s, a"
assistant,3.019840696594043,"s, n"
initial,3.019840696594043,"s, n, v"
willing,3.019840696594043,"s, a, n, v"
plane,3.019840696594043,"s, n, v"
proper,3.019840696594043,"s, a"
classic,3.019840696594043,"s, a, n"
upper,3.019840696594043,"s, n"
massive,3.019840696594043,s
ill,3.019840696594043,"s, a, n, r"
useful,3.019840696594043,"s, a"
flat,3.019840696594043,"s, a, n, r"
electric,3.019840696594043,"s, a, n"
regional,3.019840696594043,"s, a"
warm,3.0298826348881835,"s, a, v, r"
industrial,3.0298826348881835,"s, a"
cheap,3.0298826348881835,"s, a"
flying,3.0298826348881835,"s, n, v"
advanced,3.0298826348881835,"s, v"
joint,3.0298826348881835,"s, a, n, v"
supporting,3.0298826348881835,"s, n, v"
tired,3.0298826348881835,"s, a, v"
fantastic,3.0298826348881835,s
hundred,3.0298826348881835,"s, n"
terrible,3.0298826348881835,s
alternative,3.0298826348881835,"s, n"
afraid,3.0401622741327543,"s, a"
environmental,3.0401622741327543,a
fixed,3.0401622741327543,"s, a, v"
canadian,3.0401622741327543,"a, n"
intended,3.0401622741327543,"s, a, v"
filled,3.0401622741327543,"s, a, v"
proof,3.0401622741327543,"s, n, v"
republican,3.0401622741327543,"s, a, n"
younger,3.0498039199714855,"s, a"
minimum,3.0498039199714855,"a, n"
yellow,3.0498039199714855,"s, n, v"
expensive,3.0498039199714855,a
listed,3.0498039199714855,"a, v"
native,3.0498039199714855,"s, a, n"
noted,3.0498039199714855,"s, v"
historical,3.0498039199714855,"s, a"
asian,3.0498039199714855,"a, n"
domestic,3.0498039199714855,"s, a, n"
supreme,3.0498039199714855,s
stuck,3.0596644865854365,"s, a, v"
connected,3.0596644865854365,"s, a, v"
combined,3.0596644865854365,"a, v"
increasing,3.0596644865854365,"a, v"
ancient,3.0596644865854365,"s, n"
express,3.0596644865854365,"r, s, n, v"
formed,3.0596644865854365,"a, v"
illegal,3.0596644865854365,a
selected,3.0596644865854365,"a, v"
soft,3.0596644865854365,"s, a, r"
appropriate,3.0697541469258756,"a, v"
saved,3.0697541469258756,"s, a, v"
applied,3.0697541469258756,"a, v"
accepted,3.0697541469258756,"s, v"
golden,3.0697541469258756,s
grown,3.0697541469258756,"s, v"
confirmed,3.0697541469258756,"s, a, v"
scientific,3.0697541469258756,a
weak,3.08008379993015,"s, a"
angry,3.08008379993015,"s, a"
comfortable,3.08008379993015,"s, a"
emotional,3.08008379993015,"s, a"
falling,3.08008379993015,"s, a, v"
italian,3.08008379993015,"a, n"
internal,3.08008379993015,"s, a"
liberal,3.08008379993015,"s, a, n"
cute,3.0896924768680636,s
urban,3.0896924768680636,a
numerous,3.0896924768680636,s
equal,3.0896924768680636,"a, n, v"
advance,3.0896924768680636,"s, n, v"
twenty,3.0896924768680636,"s, n"
fake,3.0896924768680636,"s, n, v"
quiet,3.0896924768680636,"a, r, s, n, v"
split,3.0896924768680636,"s, n, v"
friendly,3.0995185630295783,"s, a, n"
determined,3.0995185630295783,"s, a, v"
thousand,3.0995185630295783,"s, n"
lay,3.0995185630295783,"s, n, v"
reduced,3.0995185630295783,"s, a, v"
strange,3.0995185630295783,"s, a"
mixed,3.0995185630295783,"s, v"
affected,3.0995185630295783,"a, v"
pure,3.0995185630295783,"s, a"
secure,3.0995185630295783,"s, a, v"
extended,3.0995185630295783,"s, a, v"
faster,3.0995185630295783,"s, a, r"
corporate,3.0995185630295783,"s, a"
dying,3.109572124974976,"s, a, n, v"
inspired,3.109572124974976,"s, v"
incredible,3.109572124974976,a
passing,3.109572124974976,"a, r, s, n, v"
experienced,3.109572124974976,"a, v"
obvious,3.109572124974976,a
zero,3.109572124974976,"s, a, n, v"
collected,3.109572124974976,"s, a, v"
blame,3.109572124974976,"s, n, v"
novel,3.109572124974976,"s, n"
false,3.109572124974976,"s, a, r"
fired,3.109572124974976,"s, v"
worried,3.109572124974976,"s, v"
chicken,3.109572124974976,"s, n"
minor,3.1198639450262418,"s, a, n"
tiny,3.1198639450262418,s
giant,3.1198639450262418,"s, n"
signal,3.1198639450262418,"s, n, v"
orange,3.1198639450262418,"s, n"
champion,3.1198639450262418,"s, n, v"
opposite,3.1198639450262418,"s, a, n, r"
usual,3.1198639450262418,"s, a"
essential,3.13040559077478,"s, a, n"
unable,3.13040559077478,"s, a"
cutting,3.13040559077478,"s, n, v"
jewish,3.13040559077478,a
upset,3.13040559077478,"s, n, v"
bright,3.13040559077478,"s, a, r"
familiar,3.13040559077478,"s, a, n"
drunk,3.13040559077478,"s, a, n, v"
laughing,3.13040559077478,"s, v"
conservative,3.13040559077478,"s, a, n"
medium,3.13040559077478,"s, n"
relevant,3.13040559077478,a
guilty,3.13040559077478,"s, a"
capable,3.13040559077478,"s, a"
solo,3.13040559077478,"r, s, n, v"
scottish,3.1401169279263126,"a, n"
maximum,3.1401169279263126,"a, n"
extreme,3.1401169279263126,"s, n"
directed,3.1401169279263126,"s, v"
creative,3.1401169279263126,"s, a"
educational,3.1401169279263126,"s, a"
salt,3.1401169279263126,"s, n, v"
armed,3.150050398674292,"a, v"
careful,3.150050398674292,"s, a"
empty,3.150050398674292,"s, a, n, v"
reasonable,3.150050398674292,"s, a"
pacific,3.150050398674292,"s, a, n"
saving,3.150050398674292,"s, n, v"
rural,3.150050398674292,a
typical,3.150050398674292,"s, a"
singing,3.150050398674292,"s, n, v"
warning,3.150050398674292,"s, n, v"
prize,3.150050398674292,"s, n, v"
understood,3.160216403383189,"s, a, v"
trained,3.160216403383189,"a, v"
